age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,join_year,join_month,join_day,last_visit_hour,last_visit_min,last_visit_sec,churn_risk_score
18,0,3,3,0,1,3,2,17,300.63,53005.25,17,781.75,1,1,0,1,1,2017,8,17,16,8,2,0
32,0,0,4,1,1,1,1,16,306.34,12838.38,10,0.0,1,0,1,2,1,2017,8,28,12,38,13,0
44,0,1,2,1,1,1,2,14,516.16,21027.0,22,500.69,0,1,1,3,0,2016,11,11,22,53,21,1
37,1,0,2,1,1,1,1,11,53.27,25239.56,6,567.66,0,1,1,4,0,2016,10,29,15,57,50,1
31,0,0,2,0,0,2,1,20,113.13,24483.66,16,663.06,0,1,1,2,0,2017,9,12,15,46,44,1
13,1,0,1,0,1,3,2,23,433.62,13884.77,24,722.27,1,0,1,4,2,2016,1,8,6,46,7,0
21,1,1,1,1,1,1,1,10,55.38,8982.5,28,756.21,1,0,1,3,2,2015,3,19,11,40,4,0
42,1,2,2,1,0,0,0,19,429.11,44554.82,24,568.08,0,1,1,4,0,2016,7,12,7,52,43,1
44,1,3,5,0,3,2,0,15,191.07,18362.31,20,0.0,1,0,1,3,0,2016,12,14,6,50,10,0
45,0,1,2,0,1,3,2,10,97.31,19244.16,28,706.23,0,1,1,0,0,2016,11,30,19,10,16,1
25,0,3,0,1,1,0,2,14,570.23,35119.93,8,699.7,1,1,0,1,0,2016,5,22,5,57,20,1
60,1,0,1,0,1,2,2,14,55.53,41672.02,33,798.12,1,0,0,1,0,2016,1,13,11,56,11,0
11,1,1,2,0,0,2,0,13,41.09,44007.18,18,608.26,1,0,1,4,0,2015,1,31,4,42,50,1
34,1,0,0,1,1,2,0,10,89.76,21318.19,6,0.0,0,1,0,1,0,2016,12,7,8,35,5,1
40,1,0,4,0,3,3,0,20,100.59,14842.62,26,0.0,0,1,0,1,0,2016,11,19,21,1,43,0
16,0,1,0,1,0,2,0,13,30.14,18792.31,7,141.51,1,0,1,4,0,2017,7,9,13,48,22,1
57,0,0,2,0,3,3,2,5,333.34,47241.32,8,0.0,1,1,1,3,0,2016,1,27,20,58,28,1
11,1,1,5,1,1,3,2,12,275.13,29072.86,26,733.97,1,0,0,1,0,2017,1,2,3,42,26,0
39,1,1,2,0,0,2,0,9,241.74,33170.16,6,551.11,1,0,1,0,2,2017,11,1,15,39,5,1
45,1,0,4,0,3,3,1,14,31.15,66982.61,8,164.8,1,0,1,4,1,2016,2,3,11,46,54,0
33,1,3,2,0,3,1,2,15,49.86,44289.97,25,703.96,1,0,0,1,0,2015,12,3,18,50,35,1
30,1,3,2,1,1,2,1,21,30.37,49404.86,23,630.61,1,0,1,0,0,2016,7,29,8,55,48,1
19,0,1,3,0,1,3,1,15,483.03,52702.67,3,389.36,0,1,1,0,1,2017,1,22,23,4,40,0
48,1,1,0,0,3,2,0,12,72.52,15860.41,3,529.03,0,1,0,1,2,2017,11,10,19,10,29,0
43,1,0,2,0,0,1,0,17,108.3,21725.57,21,225.0,0,1,0,1,0,2015,8,14,6,23,2,1
29,0,1,5,0,3,1,0,18,300.38,12069.06,7,777.31,0,1,0,1,0,2016,4,9,20,56,20,0
10,1,0,1,1,0,3,2,1,100.65,8515.5,6,757.7,1,0,0,1,2,2015,11,10,17,25,38,0
20,0,3,2,0,1,1,2,22,272.31,42743.44,12,687.26,1,0,0,1,0,2016,12,8,18,29,25,1
61,0,3,5,1,1,3,0,17,936.74,29156.1,10,710.38,1,0,1,0,2,2017,5,14,7,48,25,1
10,1,1,1,0,0,3,2,4,127.37,15719.24,10,634.88,1,0,1,4,0,2016,1,12,10,16,14,1
17,0,0,2,1,3,1,0,20,162.93,31100.95,11,633.05,0,1,1,2,0,2015,11,25,21,6,46,1
60,1,1,2,1,3,1,0,18,498.09,48125.94,27,0.0,0,1,0,1,0,2016,11,2,20,3,13,1
11,0,2,1,1,3,1,2,10,185.53,60143.68,4,836.08,1,0,1,3,1,2016,7,28,9,36,43,0
60,1,0,1,1,1,0,0,11,537.25,1773.49,6,711.76,1,1,0,1,0,2017,7,2,2,31,33,0
12,1,0,4,0,0,1,2,8,198.26,26105.24,7,721.36,1,0,0,1,0,2015,3,2,21,45,25,0
52,1,1,5,0,1,2,2,9,119.47,10101.48,28,158.55,1,0,0,1,0,2015,10,8,23,17,22,1
